,ID,Class
0,0,siren
1,1,street_music
2,2,drilling
3,3,siren
4,4,dog_bark
5,6,children_playing
6,10,street_music
7,11,drilling
8,12,gun_shot
9,15,dog_bark
10,17,engine_idling
11,18,siren
12,19,gun_shot
13,20,engine_idling
14,22,air_conditioner
15,24,air_conditioner
16,26,engine_idling
17,27,siren
18,32,children_playing
19,33,jackhammer
20,35,gun_shot
21,36,siren
22,37,jackhammer
23,38,street_music
24,40,jackhammer
25,42,engine_idling
26,43,siren
27,44,children_playing
28,45,jackhammer
29,46,engine_idling
30,47,air_conditioner
31,48,car_horn
32,49,drilling
33,50,siren
34,52,gun_shot
35,54,children_playing
36,56,children_playing
37,57,drilling
38,59,gun_shot
39,60,siren
40,61,car_horn
41,63,drilling
42,65,street_music
43,66,jackhammer
44,67,children_playing
45,68,dog_bark
46,71,dog_bark
47,72,street_music
48,74,street_music
49,76,jackhammer
50,77,air_conditioner
51,78,dog_bark
52,79,jackhammer
53,80,gun_shot
54,81,jackhammer
55,82,street_music
56,83,car_horn
57,84,street_music
58,87,children_playing
59,88,car_horn
60,90,siren
61,91,jackhammer
62,92,siren
63,93,street_music
64,97,dog_bark
65,99,jackhammer
66,100,air_conditioner
67,101,drilling
68,103,air_conditioner
69,104,jackhammer
70,105,street_music
71,113,street_music
72,114,air_conditioner
73,116,drilling
74,117,engine_idling
75,118,street_music
76,119,drilling
77,120,street_music
78,121,jackhammer
79,123,drilling
80,125,engine_idling
81,128,jackhammer
82,130,drilling
83,131,car_horn
84,132,street_music
85,134,children_playing
86,135,engine_idling
87,136,drilling
88,137,jackhammer
89,138,drilling
90,139,dog_bark
91,140,jackhammer
92,142,jackhammer
93,146,drilling
94,148,car_horn
95,149,siren
96,152,children_playing
97,153,jackhammer
98,159,siren
99,160,dog_bark
100,162,siren
101,163,dog_bark
102,164,dog_bark
103,165,air_conditioner
104,167,dog_bark
105,168,drilling
106,170,dog_bark
107,171,engine_idling
108,172,children_playing
109,174,children_playing
110,175,gun_shot
111,176,car_horn
112,178,jackhammer
113,179,drilling
114,182,siren
115,184,jackhammer
116,185,street_music
117,186,engine_idling
118,187,drilling
119,188,engine_idling
120,189,children_playing
121,192,air_conditioner
122,193,air_conditioner
123,196,dog_bark
124,197,children_playing
125,200,jackhammer
126,202,gun_shot
127,208,drilling
128,211,siren
129,212,engine_idling
130,213,siren
131,214,street_music
132,215,dog_bark
133,216,drilling
134,217,dog_bark
135,218,dog_bark
136,219,drilling
137,221,dog_bark
138,222,jackhammer
139,223,children_playing
140,224,dog_bark
141,226,air_conditioner
142,227,engine_idling
143,228,engine_idling
144,229,children_playing
145,230,street_music
146,232,jackhammer
147,233,children_playing
148,235,engine_idling
149,236,dog_bark
150,239,drilling
151,242,engine_idling
152,245,dog_bark
153,246,siren
154,247,street_music
155,248,siren
156,249,siren
157,250,children_playing
158,251,jackhammer
159,252,dog_bark
160,253,siren
161,255,children_playing
162,258,jackhammer
163,260,children_playing
164,261,gun_shot
165,263,jackhammer
166,264,air_conditioner
167,268,jackhammer
168,269,jackhammer
169,270,drilling
170,271,drilling
171,272,drilling
172,275,jackhammer
173,276,dog_bark
174,277,children_playing
175,278,jackhammer
176,280,street_music
177,282,street_music
178,285,jackhammer
179,286,siren
180,288,engine_idling
181,295,gun_shot
182,299,children_playing
183,300,car_horn
184,301,children_playing
185,303,drilling
186,304,dog_bark
187,305,children_playing
188,306,children_playing
189,307,drilling
190,308,street_music
191,309,siren
192,310,street_music
193,311,gun_shot
194,312,air_conditioner
195,313,dog_bark
196,314,street_music
197,315,jackhammer
198,316,jackhammer
199,317,street_music
200,318,car_horn
201,319,street_music
202,322,siren
203,323,jackhammer
204,324,air_conditioner
205,326,jackhammer
206,327,dog_bark
207,328,air_conditioner
208,329,car_horn
209,330,street_music
210,331,dog_bark
211,332,children_playing
212,333,drilling
213,334,jackhammer
214,335,air_conditioner
215,336,drilling
216,337,dog_bark
217,338,dog_bark
218,339,street_music
219,342,children_playing
220,343,siren
221,346,car_horn
222,347,siren
223,348,children_playing
224,349,car_horn
225,350,air_conditioner
226,351,drilling
227,352,engine_idling
228,353,engine_idling
229,354,street_music
230,355,drilling
231,356,dog_bark
232,357,drilling
233,358,siren
234,359,air_conditioner
235,360,children_playing
236,361,children_playing
237,363,jackhammer
238,364,dog_bark
239,365,car_horn
240,366,engine_idling
241,367,gun_shot
242,368,engine_idling
243,369,jackhammer
244,370,dog_bark
245,371,siren
246,372,children_playing
247,374,dog_bark
248,376,drilling
249,377,car_horn
250,378,jackhammer
251,380,drilling
252,381,jackhammer
253,382,engine_idling
254,383,gun_shot
255,385,siren
256,386,engine_idling
257,388,siren
258,391,siren
259,392,street_music
260,394,street_music
261,395,street_music
262,396,siren
263,397,siren
264,400,air_conditioner
265,401,children_playing
266,402,jackhammer
267,406,air_conditioner
268,407,air_conditioner
269,408,engine_idling
270,410,air_conditioner
271,411,children_playing
272,412,engine_idling
273,413,dog_bark
274,414,jackhammer
275,417,jackhammer
276,418,gun_shot
277,419,car_horn
278,423,children_playing
279,425,air_conditioner
280,426,dog_bark
281,427,siren
282,428,drilling
283,429,air_conditioner
284,430,siren
285,435,street_music
286,436,air_conditioner
287,437,engine_idling
288,438,children_playing
289,440,children_playing
290,442,dog_bark
291,444,car_horn
